ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR1809139,ERZ1739316,PRJEB41812,ERS1509319,ERZ1739316.1-ERZ1739316.542,,
UC_ERR2270940,ERZ1739317,PRJEB41812,ERS2160330,ERZ1739317.1-ERZ1739317.107,,
UC_ERR695608,ERZ1739318,PRJEB41812,ERS625316,ERZ1739318.1-ERZ1739318.1957,,
UC_ERR634973,ERZ1739319,PRJEB41812,ERS482853,ERZ1739319.1-ERZ1739319.2522,,
UC_ERR1823595,ERZ1739320,PRJEB41812,ERS1546039,ERZ1739320.1-ERZ1739320.3343,,
UC_ERR505092,ERZ1739321,PRJEB41812,ERS433551,ERZ1739321.1-ERZ1739321.2062,,
UC_ERR1297806,ERZ1739322,PRJEB41812,ERS1069653,ERZ1739322.1-ERZ1739322.1795,,
UC_ERR1297782,ERZ1739323,PRJEB41812,ERS1069663,ERZ1739323.1-ERZ1739323.457,,
UC_ERR1913274,ERZ1739324,PRJEB41812,ERS1647294,ERZ1739324.1-ERZ1739324.15,,
UC_ERR1474609,ERZ1739325,PRJEB41812,SRS015055,ERZ1739325.1-ERZ1739325.1503,,
UC_ERR1744184,ERZ1739326,PRJEB41812,ERS1462083,ERZ1739326.1-ERZ1739326.4705,,
UC_ERR2014365,ERZ1739327,PRJEB41812,ERS1796490,ERZ1739327.1-ERZ1739327.426,,
UC_ERR2036068,ERZ1739328,PRJEB41812,ERS1825751,ERZ1739328.1-ERZ1739328.121,,
UC_ERR1297831,ERZ1739329,PRJEB41812,ERS1069645,ERZ1739329.1-ERZ1739329.1088,,
UC_ERR1022509,ERZ1739330,PRJEB41812,ERS853156,ERZ1739330.1-ERZ1739330.315,,
UC_ERR2014376,ERZ1739331,PRJEB41812,ERS1796501,ERZ1739331.1-ERZ1739331.311,,
UC_ERR634982,ERZ1739332,PRJEB41812,ERS482862,ERZ1739332.1-ERZ1739332.260,,
UC_ERR1809156,ERZ1739333,PRJEB41812,ERS1509329,ERZ1739333.1-ERZ1739333.86,,
UC_ERR1022500,ERZ1739334,PRJEB41812,ERS853147,ERZ1739334.1-ERZ1739334.1317,,
UC_ERR1809128,ERZ1739335,PRJEB41812,ERS1509317,ERZ1739335.1-ERZ1739335.190,,
UC_ERR1913244,ERZ1739336,PRJEB41812,ERS1647300,ERZ1739336.1-ERZ1739336.19,,
UC_ERR1611387,ERZ1739337,PRJEB41812,ERS1336015,ERZ1739337.1-ERZ1739337.333,,
UC_ERR1809123,ERZ1739338,PRJEB41812,ERS1509315,ERZ1739338.1-ERZ1739338.361,,
UC_ERR505085,ERZ1739339,PRJEB41812,ERS433544,ERZ1739339.1-ERZ1739339.5371,,
UC_ERR505102,ERZ1739340,PRJEB41812,ERS433561,ERZ1739340.1-ERZ1739340.1941,,
UC_ERR1611415,ERZ1739341,PRJEB41812,ERS1336043,ERZ1739341.1-ERZ1739341.57,,
UC_ERR537010,ERZ1739342,PRJEB41812,ERS480593,ERZ1739342.1-ERZ1739342.2818,,
UC_ERR1297819,ERZ1739343,PRJEB41812,ERS1069661,ERZ1739343.1-ERZ1739343.719,,
UC_SRR1044006,ERZ1739344,PRJEB41812,SRS511706,ERZ1739344.1-ERZ1739344.2248,,
