BioProject,SRARunID,Microbiome,Number_of_unknown_contigs,Proportion_of_unknown_contigs,Number_of_unknown_bases,Proportion_of_unknown_bases
PRJEB15334,ERR1611403,Oral,831,2.25,647357,0.83
PRJEB15334,ERR1611393,Oral,172,1.77,124438,0.85
PRJEB15334,ERR1611396,Oral,167,2.0,97449,0.34
PRJEB15334,ERR1611404,Oral,94,2.79,53615,1.82
PRJEB15334,ERR1611416,Oral,71,3.53,40495,0.6
PRJEB15334,ERR1611410,Oral,151,1.65,89992,0.75
PRJEB15334,ERR1611391,Oral,257,1.94,161501,0.62
PRJEB15334,ERR1611382,Oral,241,2.18,139410,0.88
PRJEB15334,ERR1611387,Oral,333,3.84,194420,1.46
PRJEB15334,ERR1611386,Oral,564,2.88,461311,0.93
PRJEB15334,ERR1611402,Oral,59,2.84,31947,0.47
PRJEB15334,ERR1611412,Oral,221,1.82,141412,0.52
PRJEB15334,ERR1611411,Oral,522,3.86,314098,1.12
PRJEB15334,ERR1611399,Oral,265,3.9,163893,2.89
PRJEB15334,ERR1611420,Oral,352,2.0,240478,0.47
PRJEB15334,ERR1611394,Oral,111,1.17,73265,0.54
PRJEB15334,ERR1611425,Oral,0,0.0,0,0.0
PRJEB15334,ERR1611395,Oral,246,2.51,158800,0.61
PRJEB15334,ERR1611379,Oral,256,2.22,152447,0.61
PRJEB15334,ERR1611415,Oral,57,4.4,34797,0.69
PRJEB15334,ERR1611423,Oral,865,16.07,610167,14.51
PRJEB15334,ERR1611409,Oral,190,1.78,112380,0.44
PRJEB15334,ERR1611398,Oral,392,2.07,230876,1.09
PRJEB15334,ERR1611419,Oral,1011,4.27,642397,2.2
PRJEB15334,ERR1611378,Oral,387,3.01,246488,1.4
PRJEB15334,ERR1611400,Oral,47,1.17,26182,0.46
PRJEB15334,ERR1611407,Oral,236,2.49,142264,0.93
PRJEB15334,ERR1611392,Oral,338,2.48,224389,0.71
PRJEB15334,ERR1611397,Oral,1190,3.99,831505,1.84
PRJEB15334,ERR1611414,Oral,93,1.7,51861,1.04
PRJEB15334,ERR1611413,Oral,475,6.41,281284,2.15
PRJEB15334,ERR1611380,Oral,76,2.0,46962,0.55
PRJEB15334,ERR1611390,Oral,365,2.49,233560,0.92
PRJEB15334,ERR1611417,Oral,157,1.98,97263,1.24
PRJEB15334,ERR1611405,Oral,828,3.03,505465,1.08
PRJEB15334,ERR1611383,Oral,103,1.24,59549,0.65
PRJEB15334,ERR1611422,Oral,428,6.58,264327,3.9
PRJEB15334,ERR1611408,Oral,143,1.58,84917,0.85
PRJEB15334,ERR1611406,Oral,491,2.73,302427,0.67
PRJEB15334,ERR1611421,Oral,5,12.2,2206,7.97
PRJEB15334,ERR1611384,Oral,576,3.53,375285,1.51
PRJEB15334,ERR1611389,Oral,30,7.94,16216,6.06
PRJEB15334,ERR1611388,Oral,301,1.26,172969,0.61
PRJEB15334,ERR1611385,Oral,575,2.23,355697,0.71
PRJEB15334,ERR1611381,Oral,277,2.03,158173,0.77
PRJEB8201,ERR726369,Fecal,837,1.05,445866,0.37
PRJEB8201,ERR726368,Fecal,2546,2.73,1356365,1.21
PRJEB10919,ERR1022494,Sputum,15,5.19,6560,0.15
PRJEB10919,ERR1022498,Sputum,267,3.28,131794,2.67
PRJEB10919,ERR1022511,Sputum,198,2.65,126124,2.37
PRJEB10919,ERR1022499,Sputum,1617,3.87,922787,3.37
PRJEB10919,ERR1022509,Sputum,315,4.06,238719,4.13
